id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
3418,N,RR,Boa Vista,F,entre 51 a 60 anos,2021-12-21,2021-12-23,2022-01-13,2021-12-31,GLO,Gol Linhas Aéreas,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada não avaliada,Não Avaliada,0
3419,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-21,2021-12-22,2022-01-13,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
3420,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-12-21,2021-12-23,2021-12-23,2021-12-31,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Não Resolvida,1
3421,N,TO,Palmas,F,entre 51 a 60 anos,2021-10-13,2021-10-14,2021-11-04,2021-10-23,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
3422,S,RS,Porto Alegre,F,entre 21 a 30 anos,2021-12-21,2021-12-31,2022-01-20,2021-12-31,IPM,Itapemirim Transportes Aéreos,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Não Resolvida,1
3423,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-13,2021-10-22,2021-11-11,2021-10-23,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
3424,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-21,2021-12-27,2021-12-27,2021-12-31,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
3425,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-21,2021-12-23,2021-12-24,2021-12-31,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
3426,N,PA,Belém,M,entre 51 a 60 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3427,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-21,2021-12-23,2022-01-13,2021-12-31,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
3428,N,AM,Manaus,F,entre 31 a 40 anos,2021-12-21,2021-12-29,2022-01-19,2021-12-31,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
3429,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-21,2021-12-29,2021-12-29,2021-12-31,TAM,Latam Airlines (Tam),Atraso de voo,Internet,Finalizada avaliada,Não Resolvida,1
3430,S,RS,Santa Maria,M,entre 31 a 40 anos,2021-12-21,2021-12-30,2022-01-20,2021-12-31,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada não avaliada,Não Avaliada,0
3431,CO,DF,Brasília,F,entre 61 a 70 anos,2021-10-13,2021-10-19,2021-10-27,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
3432,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-21,,2022-01-19,2021-12-31,IPM,Itapemirim Transportes Aéreos,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Não Resolvida,1
3433,S,RS,Santa Maria,M,entre 61 a 70 anos,2021-12-21,2021-12-29,2022-01-16,2021-12-31,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada avaliada,Não Resolvida,2
3434,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-21,2021-12-29,2021-12-29,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3435,NE,RN,Natal,F,entre 31 a 40 anos,2021-10-13,2021-10-22,2021-11-12,2021-10-23,X04,Air Europa,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
3436,NE,PI,Teresina,M,entre 31 a 40 anos,2021-10-13,2021-10-14,2021-10-14,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Resolvida,5
3437,CO,MS,Bonito,F,entre 51 a 60 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,AZU,Azul Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
3438,S,RS,Canoas,M,entre 51 a 60 anos,2021-12-21,2021-12-22,2022-01-10,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Loja física,Finalizada avaliada,Não Resolvida,1
3439,N,PA,Belém,F,entre 51 a 60 anos,2021-10-13,2021-10-21,2021-11-11,2021-10-23,AZU,Azul Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
3440,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,2021-12-29,2022-01-17,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3441,S,RS,São Sepé,M,entre 61 a 70 anos,2021-12-21,2021-12-22,2021-12-28,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Dificuldade para cancelar o serviço,Loja física,Finalizada avaliada,Não Resolvida,1
3442,NE,AL,Maceió,F,entre 21 a 30 anos,2021-12-21,2021-12-28,2022-01-15,2021-12-31,TAM,Latam Airlines (Tam),Serviço não realizado no prazo ou incompleto,Internet,Finalizada avaliada,Resolvida,4
3443,N,AM,Manaus,F,entre 41 a 50 anos,2021-10-13,2021-10-21,2021-10-21,2021-10-23,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,5
3444,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-11-10,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3445,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-21,2021-12-23,2021-12-23,2021-12-31,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,Finalizada avaliada,Não Resolvida,1
3446,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-13,2021-10-15,2021-11-05,2021-10-23,TAM,Latam Airlines (Tam),Cancelamento indevido da passagem de volta,Internet,Finalizada não avaliada,Não Avaliada,0
3447,NE,SE,Aracaju,M,entre 21 a 30 anos,2021-12-21,2021-12-27,2021-12-27,2021-12-31,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada avaliada,Não Resolvida,2
3448,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-21,2021-12-23,2022-01-13,2021-12-31,GLO,Gol Linhas Aéreas,Inadequação das instalações/ acomodações,Internet,Finalizada não avaliada,Não Avaliada,0
3449,CO,MS,Dourados,M,entre 31 a 40 anos,2021-10-13,2021-10-29,2021-11-08,2021-11-02,TAM,Latam Airlines (Tam),Falta de atendimento prioritário,Internet,Finalizada avaliada,Não Resolvida,1
3450,N,PA,Belém,F,entre 21 a 30 anos,2021-12-21,2021-12-22,2021-12-23,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,5
3451,N,AM,Manaus,F,entre 31 a 40 anos,2021-12-21,2021-12-29,2022-01-19,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
3452,N,PA,Santarém,F,entre 21 a 30 anos,2021-12-21,2021-12-29,2022-01-06,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,4
3453,S,RS,Sapiranga,F,entre 21 a 30 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3454,CO,MS,Corumbá,F,entre 51 a 60 anos,2021-12-21,2021-12-30,2022-01-18,2021-12-31,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
3455,N,PA,Belém,M,entre 31 a 40 anos,2021-10-13,2021-10-19,2021-11-08,2021-10-23,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
3456,NE,RN,Natal,M,entre 31 a 40 anos,2021-12-21,2021-12-22,2022-01-12,2021-12-31,GLO,Gol Linhas Aéreas,"Falta de informação sobre atraso, cancelamento ou interrupção de voo",Internet,Finalizada não avaliada,Não Avaliada,0
3457,NE,SE,Aracaju,F,entre 61 a 70 anos,2021-12-21,,2022-01-22,2021-12-31,IPM,Itapemirim Transportes Aéreos,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
3458,NE,RN,Parnamirim,F,entre 31 a 40 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
3459,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,,2022-01-22,2021-12-31,IPM,Itapemirim Transportes Aéreos,Não entrega do contrato ou documentação relacionada ao serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3460,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-21,,2022-01-22,2021-12-31,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
3461,NE,PI,Teresina,F,entre 41 a 50 anos,2021-12-21,2021-12-27,2022-01-14,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
3462,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-21,,2022-01-03,2021-12-31,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
3463,NE,PI,Teresina,F,entre 31 a 40 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,TAM,Latam Airlines (Tam),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Internet,Finalizada não avaliada,Não Avaliada,0
3464,CO,DF,Brasília,M,entre 21 a 30 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada não avaliada,Não Avaliada,0
3465,S,RS,Porto Alegre,M,entre 21 a 30 anos,2021-10-13,2021-10-14,2021-10-14,2021-10-23,X19,TAP Air Portugal,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,5
3466,NE,MA,São Luís,M,entre 21 a 30 anos,2021-12-21,2021-12-30,2021-12-30,2021-12-31,TAM,Latam Airlines (Tam),"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Não Resolvida,1
3467,CO,MS,Ivinhema,M,entre 31 a 40 anos,2021-12-21,2021-12-30,2022-01-20,2021-12-31,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
3468,CO,MS,Campo Grande,M,entre 31 a 40 anos,2021-10-13,2021-10-22,2021-11-12,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,Telefone,Finalizada não avaliada,Não Avaliada,0
3469,S,RS,Santa Cruz do Sul,M,entre 41 a 50 anos,2021-12-21,2021-12-23,2021-12-24,2021-12-31,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada avaliada,Resolvida,5
3470,S,RS,São Leopoldo,M,entre 31 a 40 anos,2021-12-21,2021-12-22,2022-01-12,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
3471,NE,MA,São Luís,M,entre 51 a 60 anos,2021-10-13,2021-10-20,2021-11-08,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3472,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-21,2021-12-27,2022-01-17,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
3473,N,PA,Belém,M,entre 51 a 60 anos,2021-12-21,2021-12-27,2022-01-14,2021-12-31,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
3474,S,RS,Estrela,F,entre 21 a 30 anos,2021-12-21,2021-12-22,2022-01-12,2021-12-31,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3475,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-13,2021-10-22,2021-11-12,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3476,CO,MS,Rio Verde de Mato Grosso,F,entre 21 a 30 anos,2021-12-21,2021-12-22,2022-01-10,2021-12-31,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,Finalizada avaliada,Não Resolvida,1
3477,NE,RN,Natal,F,entre 61 a 70 anos,2021-12-21,2021-12-22,2021-12-27,2021-12-31,X14,KLM,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
3478,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-21,,2022-01-22,2021-12-31,IPM,Itapemirim Transportes Aéreos,"Falta de acesso a comunicação, alimentação, acomodação e/ou traslado em caso de atraso, cancelamento ou interrupção de voo",Internet,Finalizada não avaliada,Não Avaliada,0
3479,N,PA,Belém,M,entre 41 a 50 anos,2021-12-21,2021-12-28,2021-12-28,2021-12-31,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,5
3480,N,AP,Macapá,F,entre 41 a 50 anos,2021-12-21,2021-12-23,2022-01-10,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
3481,NE,AL,Maceió,F,entre 61 a 70 anos,2021-12-21,2021-12-23,2021-12-26,2021-12-31,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
3482,N,TO,Palmas,M,até 20 anos,2021-10-13,2021-10-21,2021-10-26,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / demora para cancelar o serviço,Internet,Finalizada avaliada,Resolvida,4
3483,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,,2022-01-19,2021-12-31,IPM,Itapemirim Transportes Aéreos,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3484,NE,AL,Arapiraca,F,entre 31 a 40 anos,2021-10-13,2021-10-21,2021-10-21,2021-10-23,GLO,Gol Linhas Aéreas,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Loja física,Finalizada avaliada,Não Resolvida,1
3485,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-21,2021-12-23,2021-12-24,2021-12-31,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Telefone,Finalizada avaliada,Resolvida,5
3486,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-21,2021-12-29,2022-01-19,2021-12-31,AZU,Azul Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
3487,CO,MS,Campo Grande,F,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-11-10,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
3488,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-12-21,2021-12-23,2022-01-10,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
3489,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,2021-12-30,2022-01-20,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade para alterar ou cancelar o contrato /serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3490,N,PA,Belém,M,entre 31 a 40 anos,2021-10-13,2021-10-18,2021-11-08,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,Finalizada não avaliada,Não Avaliada,0
3491,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,2021-12-23,2021-12-24,2021-12-31,GLO,Gol Linhas Aéreas,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,3
3492,S,RS,Est?ncia Velha,F,entre 21 a 30 anos,2021-10-13,2021-10-15,2021-10-15,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade para contratar / recusa injustificada,Internet,Finalizada avaliada,Resolvida,5
3493,S,RS,Canoas,M,entre 41 a 50 anos,2021-12-21,2022-01-13,2022-01-16,2022-01-14,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,3
3494,N,PA,Castanhal,M,entre 61 a 70 anos,2021-10-13,2021-10-21,2021-11-11,2021-10-23,GLO,Gol Linhas Aéreas,Não entrega do contrato ou documentação relacionada ao serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3495,S,RS,Bagé,M,entre 41 a 50 anos,2021-12-21,2021-12-24,2022-01-14,2021-12-31,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
3496,S,RS,Canoas,F,entre 31 a 40 anos,2021-12-21,2021-12-30,2022-01-17,2021-12-31,TAM,Latam Airlines (Tam),SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,1
3497,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-13,2021-10-21,2021-10-27,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Telefone,Finalizada avaliada,Resolvida,5
3498,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,2021-12-23,2022-01-13,2021-12-31,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
3499,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-21,2021-12-27,2022-01-14,2021-12-31,X19,TAP Air Portugal,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
3500,NE,AL,S?o Miguel dos Campos,F,entre 21 a 30 anos,2021-10-13,2021-10-20,2021-11-10,2021-10-23,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3501,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-11-10,2021-10-23,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
3502,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-21,,2022-01-22,2021-12-31,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
3503,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / demora para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3504,S,RS,Santa Maria,F,entre 41 a 50 anos,2021-10-13,2021-10-22,2021-11-12,2021-10-23,X08,Avianca - Voos internacionais,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
3505,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-21,2021-12-29,2022-01-19,2021-12-31,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
3506,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-21,,2022-01-19,2021-12-31,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
3507,S,RS,Carazinho,F,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-11-02,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
3508,NE,RN,Natal,M,entre 21 a 30 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / demora para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3509,CO,MS,Campo Grande,F,entre 21 a 30 anos,2021-12-21,2021-12-29,2022-01-19,2021-12-31,TAM,Latam Airlines (Tam),"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada não avaliada,Não Avaliada,0
3510,N,PA,Belém,F,entre 61 a 70 anos,2021-10-13,2021-10-15,2021-10-21,2021-10-23,TAM,Latam Airlines (Tam),"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Não comprei / contratei,Finalizada avaliada,Resolvida,5
3511,NE,AL,Maceió,F,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-10-20,2021-10-23,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,Finalizada avaliada,Não Resolvida,5
3512,S,RS,Gravataí,F,entre 31 a 40 anos,2021-12-21,2021-12-29,2022-01-16,2021-12-31,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,5
3513,NE,SE,Aracaju,M,entre 51 a 60 anos,2021-10-13,2021-10-18,2021-10-18,2021-10-23,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Não Resolvida,1
3514,N,PA,Belém,M,entre 31 a 40 anos,2021-12-21,2021-12-30,2022-01-20,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3515,NE,MA,São Luís,M,entre 31 a 40 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
3516,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-21,2021-12-27,2022-01-17,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
3517,N,AM,Manaus,M,entre 31 a 40 anos,2021-12-21,2021-12-23,2021-12-30,2021-12-31,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,1
3518,NE,RN,Natal,F,entre 31 a 40 anos,2021-10-13,2021-10-19,2021-11-07,2021-10-23,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
3519,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
3520,NE,MA,Imperatriz,M,entre 21 a 30 anos,2021-12-21,2021-12-27,2022-01-17,2021-12-31,TAM,Latam Airlines (Tam),Má qualidade no atendimento presencial ou outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
3521,NE,SE,Itabaiana,M,entre 51 a 60 anos,2021-10-13,2021-11-05,2021-11-12,2021-11-06,TAM,Latam Airlines (Tam),Não entrega do contrato ou documentação relacionada ao serviço,Internet,Finalizada avaliada,Não Resolvida,1
3522,S,RS,Alvorada,M,entre 31 a 40 anos,2021-12-21,2021-12-23,2021-12-23,2021-12-31,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
3523,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-13,2021-10-20,2021-10-25,2021-10-23,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada avaliada,Resolvida,5
3524,N,AP,Macapá,M,entre 31 a 40 anos,2021-12-21,2021-12-23,2022-01-10,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
3525,NE,MA,Imperatriz,M,entre 21 a 30 anos,2021-12-21,2021-12-29,2022-01-11,2021-12-31,AZU,Azul Linhas Aéreas,"Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto",Internet,Finalizada avaliada,Não Resolvida,1
3526,CO,MS,Campo Grande,F,entre 41 a 50 anos,2021-12-21,2021-12-30,2022-01-20,2021-12-31,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
3527,NE,AL,Maceió,F,entre 41 a 50 anos,2021-10-13,2021-10-14,2021-10-14,2021-10-23,TAM,Latam Airlines (Tam),Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,5
3528,CO,DF,Brasília,F,até 20 anos,2021-12-21,2021-12-28,2022-01-18,2021-12-31,TAM,Latam Airlines (Tam),SAC - Dificuldade para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
3529,CO,DF,Brasília,F,entre 41 a 50 anos,2021-10-13,2021-10-19,2021-11-09,2021-10-23,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
