id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
846,S,RS,Vacaria,F,entre 21 a 30 anos,2021-12-07,2021-12-08,2021-12-29,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade para alterar ou cancelar o contrato /serviço,Catálogo,Finalizada não avaliada,Não Avaliada,0
847,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-08,2021-12-10,2021-12-17,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
848,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-10,2021-12-10,2021-12-17,TAM,Latam Airlines (Tam),Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Internet,Finalizada avaliada,Resolvida,5
849,N,AM,Manaus,M,entre 61 a 70 anos,2021-12-07,2021-12-15,2021-12-16,2021-12-17,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,Finalizada avaliada,Não Resolvida,1
850,S,RS,Uruguaiana,M,entre 21 a 30 anos,2021-12-07,2021-12-08,2021-12-08,2021-12-17,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
851,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-07,2021-12-08,2021-12-29,2021-12-17,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
852,S,RS,Caxias do Sul,M,entre 31 a 40 anos,2021-12-07,2021-12-08,2021-12-21,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
853,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-10,2021-12-31,2021-12-17,GLO,Gol Linhas Aéreas,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
854,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-04,2021-10-11,2021-10-28,2021-10-14,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,5
855,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-14,2021-12-14,2021-12-17,X14,Qatar Airways,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
856,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-04,2021-10-06,2021-10-23,2021-10-14,X19,TAP Air Portugal,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
857,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-10,2021-12-14,2021-12-17,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,4
858,NE,AL,Maceió,M,entre 41 a 50 anos,2021-12-07,2021-12-15,2022-01-05,2021-12-17,AZU,Azul Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
859,CO,DF,Brasília,F,entre 51 a 60 anos,2021-10-04,2021-10-06,2021-10-24,2021-10-14,X19,TAP Air Portugal,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
860,S,RS,Uruguaiana,M,entre 21 a 30 anos,2021-12-07,2021-12-08,2021-12-08,2021-12-17,X14,KLM,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
861,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-04,2021-10-11,2021-11-01,2021-10-14,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
862,CO,DF,Brasília,F,entre 41 a 50 anos,2021-10-04,2021-10-14,2021-11-04,2021-10-14,GLO,Gol Linhas Aéreas,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada não avaliada,Não Avaliada,0
863,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-07,2021-12-17,2022-01-03,2021-12-17,X08,Avianca - Voos internacionais,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Resolvida,4
864,NE,PI,Teresina,M,entre 31 a 40 anos,2021-10-04,2021-10-13,2021-11-03,2021-10-14,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
865,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-14,2021-12-14,2021-12-17,TAM,Latam Airlines (Tam),Alteração / rescisão de contrato sem solicitação / aviso prévio,Internet,Finalizada avaliada,Resolvida,3
866,NE,RN,Natal,M,mais de 70 anos,2021-12-07,2021-12-08,2021-12-29,2021-12-17,X19,TAP Air Portugal,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
867,N,AP,Macapá,M,entre 61 a 70 anos,2021-10-04,2021-10-05,2021-10-22,2021-10-14,TAM,Latam Airlines (Tam),Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,5
868,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-07,2021-12-10,2021-12-31,2021-12-17,GLO,Gol Linhas Aéreas,Não entrega / demora na entrega do produto,Internet,Finalizada não avaliada,Não Avaliada,0
869,S,RS,Porto Alegre,M,entre 51 a 60 anos,2021-12-07,2021-12-08,2021-12-08,2021-12-17,AZU,Azul Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,4
870,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-14,2022-01-04,2021-12-17,AZU,Azul Linhas Aéreas,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada não avaliada,Não Avaliada,0
871,S,RS,Porto Alegre,M,entre 51 a 60 anos,2021-12-07,2021-12-08,2021-12-23,2021-12-17,GLO,Gol Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,5
872,NE,RN,Natal,F,entre 21 a 30 anos,2021-10-04,2021-10-11,2021-11-01,2021-10-14,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
873,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-11,2022-01-01,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
