id,empresa_sigla,empresa_nome,ano,mes,sigla_aeroporto_origem,nome_aeroporto_origem,uf_aeroporto_origem,regiao_aeroporto_origem,sigla_aeroporto_destino,nome_aeroporto_destino,uf_aeroporto_destino,regiao_aeroporto_destino,natureza,grupo_voo,passageiros_pagos,distancia_km,assentos_total
38,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SNYA,ALMEIRIM,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,85,5928,117
39,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSCN,CANELA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,89,1386,162
40,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSER,ERECHIM,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,44,1967,63
41,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSLT,ALEGRETE,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,62,4560,90
42,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSOU,ARIPUANÃ,MT,CENTRO-OESTE,SWJN,JUÍNA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,103,2880,162
43,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSSB,SÃO BORJA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,74,5434,99
44,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSSC,SANTA CRUZ DO SUL,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,47,1250,90
45,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SSZR,SANTA ROSA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,52,2800,63
46,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWFX,SÃO FÉLIX DO ARAGUAIA,MT,CENTRO-OESTE,SDH2,PORTO ALEGRE DO NORTE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,9,1152,81
47,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,55,3704,72
48,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,SWFX,SÃO FÉLIX DO ARAGUAIA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,24,2472,72
49,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWJN,JUÍNA,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,61,4384,72
50,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWJN,JUÍNA,MT,CENTRO-OESTE,SSOU,ARIPUANÃ,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,58,1600,90
51,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWJN,JUÍNA,MT,CENTRO-OESTE,SWTS,TANGARÁ DA SERRA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,72,3860,90
52,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWPH,BARRA DO GARÇAS,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,9,430,9
53,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,10,SWTS,TANGARÁ DA SERRA,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,73,1800,90
54,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBE,BELÉM,PA,NORTE,SBMD,ALMEIRIM,PA,NORTE,DOMÉSTICA,REGULAR,112,10626,207
