EMPRESA_SIGLA;EMPRESA_NOME;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;DISTANCIA_VOADA_KM;ASSENTOS
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBE;BELÉM;PA;NORTE;SBMD;ALMEIRIM;PA;NORTE;DOMÉSTICA;REGULAR;112;10626;207
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBE;BELÉM;PA;NORTE;SBSN;SANTARÉM;PA;NORTE;DOMÉSTICA;REGULAR;8;4970;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBE;BELÉM;PA;NORTE;SBTU;TUCURUÍ;PA;NORTE;DOMÉSTICA;REGULAR;36;1500;45
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBE;BELÉM;PA;NORTE;SNEB;PARAGOMINAS;PA;NORTE;DOMÉSTICA;REGULAR;21;892;36
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBE;BELÉM;PA;NORTE;SNVS;BREVES;PA;NORTE;DOMÉSTICA;REGULAR;164;6160;252
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBG;BAGÉ;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;115;6099;171
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;117;8000;180
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;SBGO;GOIÂNIA;GO;CENTRO-OESTE;DOMÉSTICA;REGULAR;23;1047;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SBAT;ALTA FLORESTA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;7;643;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;148;8400;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SSOU;ARIPUANÃ;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;32;3535;45
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;53;4167;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;SWJN;JUÍNA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;66;4932;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBEG;MANAUS;AM;NORTE;SWKO;COARI;AM;NORTE;DOMÉSTICA;REGULAR;171;9075;225
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBEG;MANAUS;AM;NORTE;SWLB;LÁBREA;AM;NORTE;DOMÉSTICA;REGULAR;63;9152;117
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBEG;MANAUS;AM;NORTE;SWMW;MAUÉS;AM;NORTE;DOMÉSTICA;REGULAR;130;7074;243
